S,Q,Std,X,R,V,W
1,45,15,60,50,"30,60,0,0","0.5,0.5,0,0"
1,50,0,50,50.94,"50,0,0,0","1,0,0,0"
1,50,10,40,28.75,"60,40,0,0","0.5,0.5,0,0"
1,50,20,30,30.31,"30,70,0,0","0.5,0.5,0,0"
1,45,5,40,30.94,"40,50,0,0","0.5,0.5,0,0"
1,45,5,50,59.06,"40,50,0,0","0.5,0.5,0,0"
1,45,15,30,39.38,"30,60,0,0","0.5,0.5,0,0"
1,30,0,30,18.75,"30,0,0,0","1,0,0,0"
1,50,10,60,69.69,"60,40,0,0","0.5,0.5,0,0"
1,55,15,40,40.63,"40,70,0,0","0.5,0.5,0,0"
1,60,0,60,59.06,"60,0,0,0","1,0,0,0"
1,50,20,70,50,"30,70,0,0","0.5,0.5,0,0"
1,55,5,60,48.44,"50,60,0,0","0.5,0.5,0,0"
1,55,15,70,80.63,"40,70,0,0","0.5,0.5,0,0"
1,40,0,40,39.38,"40,0,0,0","1,0,0,0"
1,55,5,50,39.06,"50,60,0,0","0.5,0.5,0,0"
1,50,10,60,68.44,"60,40,0,0","0.5,0.5,0,0"
1,50,10,40,17.81,"60,40,0,0","0.5,0.5,0,0"
1,45,5,50,47.5,"40,50,0,0","0.5,0.5,0,0"
1,40,0,40,19.06,"40,0,0,0","1,0,0,0"
1,55,5,50,50.63,"50,60,0,0","0.5,0.5,0,0"
1,45,15,60,59.06,"30,60,0,0","0.5,0.5,0,0"
1,60,0,60,58.44,"60,0,0,0","1,0,0,0"
1,55,15,40,27.81,"40,70,0,0","0.5,0.5,0,0"
1,50,0,50,38.44,"50,0,0,0","1,0,0,0"
1,55,5,60,60.94,"50,60,0,0","0.5,0.5,0,0"
1,50,20,70,70,"30,70,0,0","0.5,0.5,0,0"
1,55,15,70,81.25,"40,70,0,0","0.5,0.5,0,0"
1,30,0,30,10,"30,0,0,0","1,0,0,0"
1,45,15,30,29.69,"30,60,0,0","0.5,0.5,0,0"
1,50,20,30,30,"30,70,0,0","0.5,0.5,0,0"
1,45,5,40,40.94,"40,50,0,0","0.5,0.5,0,0"
1,40,0,40,20,"40,0,0,0","1,0,0,0"
1,50,10,40,18.44,"60,40,0,0","0.5,0.5,0,0"
1,60,0,60,70.31,"60,0,0,0","1,0,0,0"
1,30,0,30,19.38,"30,0,0,0","1,0,0,0"
1,50,0,50,57.81,"50,0,0,0","1,0,0,0"
1,55,15,70,59.69,"40,70,0,0","0.5,0.5,0,0"
1,45,5,50,49.69,"40,50,0,0","0.5,0.5,0,0"
1,50,20,30,7.81,"30,70,0,0","0.5,0.5,0,0"
1,55,5,60,47.5,"50,60,0,0","0.5,0.5,0,0"
1,55,5,50,39.06,"50,60,0,0","0.5,0.5,0,0"
1,45,5,40,19.06,"40,50,0,0","0.5,0.5,0,0"
1,50,10,60,51.56,"60,40,0,0","0.5,0.5,0,0"
1,55,15,40,29.69,"40,70,0,0","0.5,0.5,0,0"
1,45,15,30,20,"30,60,0,0","0.5,0.5,0,0"
1,50,20,70,71.25,"30,70,0,0","0.5,0.5,0,0"
1,45,15,60,80,"30,60,0,0","0.5,0.5,0,0"
1,40,0,40,11.25,"40,0,0,0","1,0,0,0"
1,50,20,70,58.44,"30,70,0,0","0.5,0.5,0,0"
1,45,5,40,11.25,"40,50,0,0","0.5,0.5,0,0"
1,55,5,50,40.31,"50,60,0,0","0.5,0.5,0,0"
1,55,5,60,69.69,"50,60,0,0","0.5,0.5,0,0"
1,50,10,60,48.75,"60,40,0,0","0.5,0.5,0,0"
1,45,15,30,8.44,"30,60,0,0","0.5,0.5,0,0"
1,50,0,50,38.44,"50,0,0,0","1,0,0,0"
1,60,0,60,69.38,"60,0,0,0","1,0,0,0"
1,50,10,40,18.44,"60,40,0,0","0.5,0.5,0,0"
1,45,5,50,41.88,"40,50,0,0","0.5,0.5,0,0"
1,45,15,60,57.81,"30,60,0,0","0.5,0.5,0,0"
1,55,15,70,78.75,"40,70,0,0","0.5,0.5,0,0"
1,55,15,40,20.63,"40,70,0,0","0.5,0.5,0,0"
1,50,20,30,19.38,"30,70,0,0","0.5,0.5,0,0"
1,30,0,30,10.63,"30,0,0,0","1,0,0,0"
1,45,5,40,32.5,"40,50,0,0","0.5,0.5,0,0"
1,40,0,40,27.81,"40,0,0,0","1,0,0,0"
1,45,5,50,51.88,"40,50,0,0","0.5,0.5,0,0"
1,55,5,50,40.63,"50,60,0,0","0.5,0.5,0,0"
1,55,15,40,16.56,"40,70,0,0","0.5,0.5,0,0"
1,50,20,30,0.94,"30,70,0,0","0.5,0.5,0,0"
1,30,0,30,9.06,"30,0,0,0","1,0,0,0"
1,60,0,60,59.06,"60,0,0,0","1,0,0,0"
1,55,15,70,81.56,"40,70,0,0","0.5,0.5,0,0"
1,45,15,30,9.38,"30,60,0,0","0.5,0.5,0,0"
1,50,10,60,58.13,"60,40,0,0","0.5,0.5,0,0"
1,50,10,40,19.69,"60,40,0,0","0.5,0.5,0,0"
1,55,5,60,59.69,"50,60,0,0","0.5,0.5,0,0"
1,45,15,60,60.94,"30,60,0,0","0.5,0.5,0,0"
1,50,20,70,68.75,"30,70,0,0","0.5,0.5,0,0"
1,50,0,50,38.75,"50,0,0,0","1,0,0,0"
2,45,5,40,34.6875,"40,50,0,0","0.5,0.5,0,0"
2,40,0,40,23.75,"40,0,0,0","1,0,0,0"
2,50,10,40,45.9375,"60,40,0,0","0.5,0.5,0,0"
2,45,15,30,39.0625,"30,60,0,0","0.5,0.5,0,0"
2,50,0,50,64.375,"50,0,0,0","1,0,0,0"
2,55,15,40,45.625,"40,70,0,0","0.5,0.5,0,0"
2,50,20,70,66.25,"30,70,0,0","0.5,0.5,0,0"
2,50,20,30,22.5,"30,70,0,0","0.5,0.5,0,0"
2,55,5,50,37.8125,"50,60,0,0","0.5,0.5,0,0"
2,60,0,60,51.5625,"60,0,0,0","1,0,0,0"
2,45,5,50,47.5,"40,50,0,0","0.5,0.5,0,0"
2,45,15,60,60,"30,60,0,0","0.5,0.5,0,0"
2,55,5,60,48.125,"50,60,0,0","0.5,0.5,0,0"
2,30,0,30,13.4375,"30,0,0,0","1,0,0,0"
